"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"SCSE 2022 Cover Page","",,2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","c1","c26","Presents the front cover, title page, or splash screen of the proceedings record.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905136","","","","","","","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Copyright Page","",,2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","ii","ii","Presents the copyright information for the conference. May include reprint permission information.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905227","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905227","","","","","","","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Contents","",,2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","iii","iii","Presents the conference table of contents.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905156","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905156","","","","","","","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Technical Programme Committee","",,2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","vii","ix","Lists the conference organizers, sponsors, patrons, and/or committee members.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905198","","","","","","","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Editorial Board","",,2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","v","v","Presents a listing of the editorial board, board of governors, current staff, committee members, and/or society editors for this issue of the publication.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905206","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905206","","","","","","","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Organizing Committee","",,2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","xi","xi","Lists the conference organizers, sponsors, patrons, and/or committee members.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905185","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905185","","","","","","","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Conference Advisory Committee","",,2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","xiii","xiii","Lists the conference organizers, sponsors, patrons, and/or committee members.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905088","","","","","","","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Keynote Speech","",,2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","xv","xv","Presents the conference keynote speech and address.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905165","","","","","","","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Keynote Speech","",,2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","xvii","xvii","Presents the conference keynote speech and address.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905211","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905211","","","","","","","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Design of an Online Platform for the Agriculture Community to Localise Scientific Knowledge and Foster Sustainability","S. Pathirage; A. Ginige","School of Computer Data and Mathematical Sciences, Western Sydney University, Australia; School of Computer Data and Mathematical Sciences, Western Sydney University, Australia",2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","1","8","Sustainable agricultural practices are critical to emerging global hunger and environmental issues. Knowledge is the key to improving such practices. In agriculture, knowledge is categorised as local and scientific, where both have their potential. Within the agriculture community with respect to knowledge, there are creators and consumers. Scientists and extension officers who disseminate scientific information can be seen as knowledge creators and farmers as knowledge consumers. This separation leads to a mismatch between the creators' and consumers' contexts, leading to scientific knowledge not applying to the local context. Further, such knowledge disregards practical local knowledge. The challenge is to bring both contexts together and enable knowledge co-creation in a scalable manner to generate context-specific crop recommendations. We designed an online community platform to combine knowledge creation and consumption to enable knowledge co-creation. This will help to generate context-specific crop recommendations while overcoming the tyranny of space and time. First, we identified characteristics of a conducive knowledge creation space through a literature review and designed an enabling space for the agriculture community to develop farming practices. Then we identified user stories for community members. Next, we designed a prototype where scientists, extension officers, and farmers could develop practice packages (PoP). The community knowledge creation process can be initiated with published farming practices. Then, based on the context, the agriculture community can build dialogue to find unavailable information, verify available information based on practicality and finalise the PoP. This intervention will bring knowledge creation contexts closer to where knowledge is put into action and facilitate the agriculture community to harness the power of both local and scientific knowledge to perform farming practices better.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905109","farming practices development;knowledge creation;knowledge co-creation;online community platform;virtual space","Economics;Prototypes;Crops;Production;Agriculture;Mobile applications;Task analysis","","","","35","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
