"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Front Cover","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","1","1","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499738","","","","","","","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"ICARC - 2024","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","1","1","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499780","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499780","","","","","","","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"Copyright","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","ii","ii","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499757","","","","","","","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"Organizing Committee","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","iii","vi","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499700","","","","","","","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"Advisory Panel","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","vii","vii","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499733","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499733","","","","","","","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"Panel of Reviewers","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","viii","xi","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499731","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499731","","","","","","","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"Editorial Board","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","xii","xii","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499775","","","","","","","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"Messages","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","xiii","xv","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499734","","","","","","","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"Contents","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","xvi","xxi","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499791","","","","","","","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"Keynote Address by Professor Saman K Halgamuge","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","1","2","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499776","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499776","","","","","","0","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"Plenary Speeches","",,2024 4th International Conference on Advanced Research in Computing (ICARC),"22 Apr 2024","2024","","","xxiv","xxxi","","","979-8-3503-8486-4","10.1109/ICARC61713.2024.10499703","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499703","","","","","","","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
