DOI,Title,Matched Columns,Matched keywards
10.1109/MERCon60487.2023.10355499,An Adaptive YOLO Model for Detection of Faulty Insulators in Power Transmission Network Using Unmanned Aerial Vehicle,Abstract,transfer learning
10.1109/MERCon60487.2023.10355424,Comparative Analysis of Artificial Neural Network and Multiple Linear Regression Models in Predicting Pressure Transmission of soft pneumatic actuators used for active compression,"Document Title, Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","artificial neural network, neural network, artificial neural network, neural network, ann, artificial neural network, neural network"
10.1109/MERCon63886.2024.10688521,Detection of Tea Leaf Diseases Using Deep Transfer Learning,"Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","transfer learning, neural network, convolutional neural network, transfer learning, cnn, neural network, convolutional neural network, transfer learning, transfer learning"
10.1109/MERCon63886.2024.10688577,An Exploratory Study of Diverse Models and Datasets for Transfer Learning based Image Classification on Sparse Data,"Document Title, Abstract, Author Keywords, IEEE Terms","transfer learning, transfer learning, transfer learning, transfer learning"
10.1109/MERCon63886.2024.10689188,Quality Assessment of Welding using Regression Analysis of Biomechanical Data,Abstract,deep learning
10.1109/MERCon63886.2024.10688451,EEG Based Brain-Computer Interface for Inner Speech Classification,"Abstract, Abstract, Author Keywords, IEEE Terms","neural network, transfer learning, transfer learning, transfer learning"
10.1109/MERCon63886.2024.10688764,Multi-faceted approach for Parkinson’s Disease Detection and Monitoring,Abstract,deep learning
10.1109/MERCon63886.2024.10689234,Motion Control of an Unmanned Catamaran Vessel for Maritime Environment,"Abstract, Abstract","neural network, recurrent neural network"
10.1109/MERCon63886.2024.10689048,A Deep Learning Based Approach for Simultaneous Host Extraction and Multi-class Classification,"Document Title, Abstract, IEEE Terms","deep learning, cnn, deep learning"
10.1109/MERCon63886.2024.10689004,"SinhaLearn: NLP, CNN, and OCR Based Data Driven Approach for Enhancing Sinhala Proficiency of Grade 5 Scholarship Students",Document Title,cnn
10.1109/MERCon63886.2024.10688920,Deep Learning-Based Power Baseline Modelling of a Range of Electrical Loads in Smart Green Building,"Document Title, Abstract, Author Keywords, IEEE Terms","deep learning, deep learning, deep learning, deep learning"
10.1109/MERCon63886.2024.10688963,Enhancing Fan Base Engagement through Explainable Self-Learning Sentiment Analysis,"Abstract, Author Keywords","deep learning, supervised learning"
10.1109/MERCon63886.2024.10688954,Image Acquisition and Deep Convolutional Neural Network Incorporated Cost-Effective Automated Nursery Disease Detection Method for the Tea Industry,"Document Title, Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, convolutional neural network, neural network, convolutional neural network, neural network, convolutional neural network"
10.1109/MERCon63886.2024.10688628,Understanding Omitted Facts in Transformer-based Abstractive Summarization,"Document Title, Abstract, Abstract, IEEE Terms","transformer, transformer, deep learning, deep learning"
10.1109/MERCon63886.2024.10688457,A Review on White Matter Changes in Parkinson’s Disease Detected by Diffusion MRI,"Abstract, IEEE Terms","deep learning, deep learning"
10.1109/MERCon63886.2024.10688983,FL-CycleGAN: Enhancing Mobile Photography with Federated Learning-Enabled CycleGAN,Abstract,deep learning
10.1109/MERCon63886.2024.10689168,An Aspect Based Sentiment Analysis Model Applicable for a Domain with a Small Labeled Data Set,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","neural network, deep learning, cnn, neural network, convolutional neural network, deep learning"
10.1109/SCSE49731.2020.9313003,Dengue mosquito larvae identification using digital images,"Abstract, Author Keywords","cnn, cnn"
10.1109/SCSE49731.2020.9313056,Contextual assistant framework for the Sinhala language,Abstract,deep learning
10.1109/SCSE49731.2020.9313014,Anomaly detection in cloud network data,"Abstract, Abstract, Abstract","neural network, autoencoder, supervised learning"
10.1109/SCSE49731.2020.9313018,IoT based animal classification system using convolutional neural network,"Document Title, Document Title, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","neural network, convolutional neural network, gradient descent, cnn, neural network, convolutional neural network, cnn"
10.1109/SCSE49731.2020.9313023,Sentiment classification of Sinhala content in social media,Author Keywords,supervised learning
10.1109/SCSE49731.2020.9313036,"Identification of factors and classifying the accident severity in Colombo - Katunayake expressway, Sri Lanka","Abstract, Author Keywords","neural network, neural network"
10.1109/SCSE49731.2020.9313047,Relationships between climatic factors to the paddy yield in the North-Western Province of Sri Lanka,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","artificial neural network, neural network, ann, artificial neural network, neural network, ann"
10.1109/SCSE49731.2020.9313040,Aspect-based sentiment analysis on hair care product reviews,Author Keywords,supervised learning
10.1109/SCSE53661.2021.9568314,Autism spectrum disorder diagnosis support model using Inception V3,"Abstract, Author Keywords, IEEE Terms","transfer learning, transfer learning, transfer learning"
10.1109/SCSE53661.2021.9568324,Novel deep learning approaches for crop leaf disease classification: A review,"Document Title, Abstract, Author Keywords, Author Keywords, IEEE Terms","deep learning, deep learning, attention mechanism, deep learning, deep learning"
10.1109/SCSE53661.2021.9568320,Thought identification through visual stimuli presentation from a commercially available EEG device,"Abstract, IEEE Terms","deep learning, deep learning"
10.1109/SCSE53661.2021.9568361,A tree structure-based classification of diabetic retinopathy stages using convolutional neural network,"Document Title, Document Title, Abstract, Abstract, Abstract, Author Keywords","neural network, convolutional neural network, neural network, convolutional neural network, cnn, cnn"
10.1109/SCSE53661.2021.9568308,Deep learning-based pesticides prescription system for leaf diseases of home garden crops in Sri Lanka,"Document Title, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms, IEEE Terms, IEEE Terms","deep learning, neural network, convolutional neural network, deep learning, transfer learning, supervised learning, neural network, convolutional neural network, deep learning, transfer learning, supervised learning"
10.1109/SCSE53661.2021.9568331,What makes job satisfaction in the information technology industry?,Abstract,neural network
10.1109/SCSE53661.2021.9568282,Estimation of the incubation period of COVID-19 using boosted random forest algorithm,Abstract,supervised learning
10.1109/SCSE53661.2021.9568328,Student concentration level monitoring system based on deep convolutional neural network,"Document Title, Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, convolutional neural network, neural network, convolutional neural network, neural network, convolutional neural network"
10.1109/SCSE53661.2021.9568329,TrackWarn: An AI-driven warning system for railway track workers,"Abstract, Abstract, Abstract, Author Keywords","neural network, convolutional neural network, cnn, cnn"
10.1109/SCSE53661.2021.9568315,Application of AlexNet convolutional neural network architecture-based transfer learning for automated recognition of casting surface defects,"Document Title, Document Title, Document Title, Abstract, Abstract, Author Keywords, IEEE Terms","neural network, convolutional neural network, transfer learning, transfer learning, cnn, transfer learning, transfer learning"
10.1109/SCSE53661.2021.9568311,Comparison of supervised learning-based indoor localization techniques for smart building applications,"Document Title, Abstract, Author Keywords, IEEE Terms","supervised learning, supervised learning, supervised learning, supervised learning"
10.1109/SCSE56529.2022.9905170,Extraction of Sentiments in Tamil Sentences Using Deep Learning,"Document Title, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","deep learning, neural network, deep neural network, convolutional neural network, long short-term memory, deep learning, deep learning, deep learning"
10.1109/SCSE56529.2022.9905095,Designing of a Voice-Based Programming IDE for Source Code Generation: A Machine Learning Approach,"Abstract, Abstract, Author Keywords, IEEE Terms","transformer, transfer learning, deep learning, transfer learning"
10.1109/SCSE56529.2022.9905131,Predicting Employee Preference of Teleworking Using Machine Learning Techniques in the Post COVID-19 Period in Sri Lanka,Abstract,multi-layer perceptron
10.1109/SCSE56529.2022.9905186,Predicting Mothers with Postpartum Depression using Machine Learning Approaches,"Abstract, Author Keywords, Author Keywords","neural network, artificial neural network, neural network"
10.1109/SCSE56529.2022.9905191,Stock Market Prediction using Artificial Intelligence,"Abstract, Abstract, Author Keywords, Author Keywords","long short-term memory, gated recurrent unit, long short-term memory, gated recurrent unit"
10.1109/SCSE56529.2022.9905092,Deep Hybrid Learning Framework for Plant Disease Recognition,"Abstract, Author Keywords, Author Keywords, Author Keywords","deep learning, artificial neural network, neural network, deep learning"
10.1109/SCSE56529.2022.9905086,Performance Comparison of Neural Network Models on Edge Devices Using Face Mask Detection System,"Document Title, Abstract, Abstract, Abstract, Author Keywords","neural network, neural network, convolutional neural network, cnn, neural network"
10.1109/SCSE56529.2022.9905100,A Comprehensive Review on Vision-based Sign Language Detection and Recognition,Author Keywords,ann
10.1109/SCSE56529.2022.9905208,A Systematic Investigation on the Effectiveness of the Tabbert Model for Credit Card Fraud Detection,"Abstract, Abstract","neural network, supervised learning"
10.1109/SCSE56529.2022.9905127,Creating a Sri Lankan Micro-Emotion Dataset for a Robust Micro-Expression Recognition System,"Abstract, Abstract, Abstract, Abstract, IEEE Terms","neural network, convolutional neural network, deep learning, cnn, deep learning"
10.1109/SCSE56529.2022.9905163,Deep Neural Architectures for Ethnicity Classification in Face Images,"Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms, IEEE Terms","neural network, convolutional neural network, deep learning, transfer learning, deep learning, transfer learning, deep learning, transfer learning"
10.1109/SCSE56529.2022.9905190,Sentiment Analysis on Twitter Data Related to Online Learning During the Covid-19 Pandemic,"Abstract, Abstract, Abstract, Author Keywords","artificial neural network, neural network, ann, ann"
10.1109/SCSE56529.2022.9905090,Adding Commonsense to Robotic Application Using Ontology-Based Model Retraining,Author Keywords,transfer learning
10.1109/SCSE56529.2022.9905215,An Ensemble Machine Learning Approach for Stroke Prediction,"Abstract, Abstract","artificial neural network, neural network"
10.1109/SCSE56529.2022.9905110,Personalized Classification of Non-Spam Emails Using Machine Learning Techniques,"Abstract, Abstract, Author Keywords","neural network, deep neural network, supervised learning"
10.1109/SCSE56529.2022.9905145,Ensemble Deep Learning for Automated Dust Storm Detection Using Satellite Images,"Document Title, Abstract, Abstract, Author Keywords","deep learning, u-net, deep learning, deep learning"
10.1109/SCSE56529.2022.9905148,Mapping of Sri Lankan Road Signs by Using Google Street View Images,"Abstract, Abstract","densenet, cnn"
10.1109/SCSE59836.2023.10215001,Alapana Generation using Finite State Machines and Generative Adversarial Networks,"Abstract, Author Keywords, IEEE Terms","deep learning, generative adversarial network, deep learning"
10.1109/SCSE59836.2023.10215038,Detecting Click Fraud Using an Improved Lenet-5 Convolution Neural Network,"Document Title, Abstract, Abstract, Author Keywords, IEEE Terms","neural network, neural network, deep learning, neural network, deep learning"
10.1109/SCSE59836.2023.10215013,Sinhala Language Fake News Detection In Social Media Using Autoencoder-Based Method,"Document Title, Abstract","autoencoder, autoencoder"
10.1109/SCSE59836.2023.10215000,An Efficient Deep Learning Model for Eye Disease Classification,"Document Title, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","deep learning, neural network, convolutional neural network, deep learning, deep learning, deep learning"
10.1109/SCSE59836.2023.10215044,Preserving India’s Rich Dance Heritage: A Classification of Indian Dance Forms and Innovative Digital Management Solutions for Cultural Heritage Conservation,"Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","neural network, convolutional neural network, recurrent neural network, deep learning, cnn, deep learning, cnn, deep learning"
10.1109/SCSE59836.2023.10215029,Effectiveness of Using Deep Learning for Blister Blight Identification in Sri Lankan Tea,"Document Title, Abstract, Abstract, Abstract, Author Keywords","deep learning, neural network, convolutional neural network, cnn, cnn"
10.1109/SCSE59836.2023.10214999,Interpretation of Sri Lankan Sign Language: A Wearable Sensor-based Approach,Abstract,long short-term memory
10.1109/SCSE59836.2023.10215020,Exploring Music Similarity through Siamese CNNs using Triplet Loss on Music Samples,"Abstract, Abstract, Abstract","neural network, convolutional neural network, cnn"
10.1109/SCSE59836.2023.10215030,Canine Sleeping Posture Identification using Transfer Learning,"Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","transfer learning, neural network, convolutional neural network, transfer learning, transfer learning, cnn, transfer learning"
10.1109/SCSE59836.2023.10214984,Performance Analysis of Transfer Learning Methods for Malaria Disease Identification,"Document Title, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms, IEEE Terms","transfer learning, deep learning, cnn, deep learning, transfer learning, cnn, deep learning, transfer learning"
10.1109/SCSE59836.2023.10215027,The Role of Social Media (Twitter) in Analysing Home Violence: A Machine Learning Approach,Abstract,ann
10.1109/SCSE59836.2023.10214997,Deep Learning-Based E-Learning Solution for Identifying and Bridging the Knowledge Gap in Primary Education,"Document Title, Abstract","deep learning, deep learning"
10.1109/SCSE59836.2023.10215047,Integrating Weather Patterns into Machine Learning Models for Improved Electricity Demand Forecasting in Sri Lanka,Abstract,long short-term memory
10.1109/SCSE59836.2023.10215039,Smart System to Support Hearing Impaired Students in Tamil,"Abstract, Author Keywords, Author Keywords, IEEE Terms","deep learning, neural network, convolutional neural network, deep learning"
10.1109/SCSE61872.2024.10550868,Machine Learning Techniques to Assess Faceted Blue Sapphire Gemstone Prices,"Abstract, Abstract","neural network, feedforward neural network"
10.1109/SCSE61872.2024.10550467,Autonomous Warning System To Detect Road Blockers And Collisions While Notifying Users About Potential Risks,Author Keywords,supervised learning
10.1109/SCSE61872.2024.10550525,Interpretable Prediction of Student Dropout Using Explainable AI Models,"Document Title, Abstract, Author Keywords","dropout, dropout, dropout"
10.1109/SCSE61872.2024.10550544,Machine Reading Comprehension with Tamil Short Story MRC Dataset,"Authors, Abstract","ann, transformer"
10.1109/SCSE61872.2024.10550793,Weed Detection in Agriculture using End-to-End Object Detection with Transformers in ResNet-50,Abstract,deep learning
10.1109/SCSE61872.2024.10550446,Disease Diagnosis From Facial Alternations Using Ensemble CNNs,"Abstract, Abstract, Abstract, Abstract, Author Keywords","neural network, convolutional neural network, densenet, cnn, cnn"
10.1109/SCSE61872.2024.10550556,Hardware-aware Neural Architecture Search for Sound Classification in Constrained Environments,"Document Title, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","neural architecture search, neural architecture search, deep learning, cnn, neural architecture search, deep learning"
10.1109/SCSE61872.2024.10550875,Handwritten Prescription Recognition Using VGG Based Architecture with Bi-LSTM,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","neural network, recurrent neural network, cnn, neural network, long short-term memory, cnn, transfer learning"
10.1109/SCSE61872.2024.10550734,Deep Learning-powered Mobile App for Early Brahmi Script Decipherment in Sri Lanka,"Document Title, Abstract, Author Keywords","deep learning, deep learning, deep learning"
10.1109/SCSE61872.2024.10550783,Comparative Analysis of Jellyfish Classification: A Study Using YOLOv8 and Pre-trained Models,"Abstract, Abstract, IEEE Terms","densenet, deep learning, deep learning"
10.1109/SCSE61872.2024.10550735,Assessing the Performance of Feedforward Neural Network Models with Random Data Split for Time Series Data: A Simulation Study,"Document Title, Document Title, Author Keywords, Author Keywords","neural network, feedforward neural network, neural network, feedforward neural network"
10.1109/SCSE61872.2024.10550859,EnsembleCAM: Unified Visualization for Explainable Cervical Cancer Identification,Abstract,deep learning
10.1109/SCSE61872.2024.10550572,CNN-based Optimization for Lung Sound Classification with Mobile Accessibility,"Document Title, Author Keywords","cnn, cnn"
10.1109/SCSE61872.2024.10550563,Generating YouTube Video Titles Using Closed Captions and BART Summarization,"Abstract, Abstract","transformer, cnn"
10.1109/SCSE61872.2024.10550809,Refining Large Language Models for Tabular Data Analysis in Business Domain by Laymen Text,"Abstract, Author Keywords","supervised learning, supervised learning"
10.1109/SCSE61872.2024.10550615,Traffic Sign Recognition and Auditory Alert System for Sri Lankan Drivers Using Deep-Learning,Abstract,deep learning
10.1109/SCSE61872.2024.10550832,Recommend Source Codes Considering Designing Patterns using Machine Learning Algorithm,"Abstract, Abstract, Abstract","long short-term memory, deep learning, supervised learning"
10.1109/SCSE61872.2024.10550526,Automatic Multi-Class Non-Functional Software Requirements Classification Using Machine Learning Algorithms,"Abstract, Abstract, Author Keywords, IEEE Terms","long short-term memory, deep learning, long short-term memory, deep learning"
10.1109/SCSE61872.2024.10550676,An analysis of machine learning techniques for multimodal recognition,"Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","neural network, convolutional neural network, transfer learning, cnn, cnn, transfer learning"
10.1109/SCSE61872.2024.10550861,Assessment of Human Emotional Responses to AI–Composed Music: A Systematic Literature Review,Abstract,deep learning
10.1109/SCSE61872.2024.10550833,Stream Count Predictive Analysis for Upcoming Songs on Spotify using Machine Learning: A Systematic Literature Review,Abstract,deep learning
10.1109/SCSE61872.2024.10550511,Deep Learning-Based Mitosis Detection in Breast Cancer Histopathology Images: A Mapping Study,"Document Title, Abstract, Author Keywords, Author Keywords","deep learning, deep learning, deep learning, cnn"
10.1109/SCSE61872.2024.10550878,Systematic Review on Profile-Based Criminal Identification through Partial Face Recognition and Advanced Technologies,Abstract,cnn
