"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Front Cover","",,2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","1","1","","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417176","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417176","","","","","","","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Table Of Contents","",,2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","ii","ii","","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417362","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417362","","","","","","","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Front Matter","",,2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","iii","xvii","","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417715","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417715","","","","","","","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Technical Program Committee","",,2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","xviii","xxii","","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417681","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417681","","","","","","","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Reviewing Committee","",,2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","xxiii","xxvii","","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417691","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417691","","","","","","","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Sinhala Sign Language Translation through Immersive 3D Avatars and Adaptive Learning","B. G. J. Gamage; R. P. S. D. Paranagama; R. M. S. H. Ranaweera; A. V. R. Dilshan; I. Weerathunga; D. Kasthurirathna","Department of Software Engineering, Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Software Engineering, Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Software Engineering, Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Software Engineering, Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Software Engineering, Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Software Engineering, Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","1","6","This research paper addresses the challenge of bridging the communication gap between sign language users and non-users through a comprehensive study on sign language translation. The focus is on Sinhala Sign Language (SSL), and the research problem encompasses various innovative components. These include the conversion of Sinhala Sign Language (SSL) into text, emotion recognition and representation, personalized sign language learning, and accurate identification and translation of sign language gestures. By leveraging machine learning, deep learning, 3D modeling, and image/video processing techniques, the system enhances accessibility, communication, and education for the deaf and hard-of-hearing community. The outcomes of this research encompass an accurate and visually appealing sign language translation system, personalized learning interfaces, and the integration of emotions into sign language communication. The research contributes by providing insights into SSL grammar and lexicon, developing a tailored sign language learning curriculum, implementing reinforcement learning algorithms for personalized feedback, utilizing 3D components for enhanced visual quality, and optimizing deployments and models for improved performance. The proposed system has significant implications for improved accessibility, education, and inclusivity, fostering effective communication and understanding between sign language users and non-users.","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417474","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417474","sign language;translation;communication;accessibility;deaf;hearing-impaired;Sinhala Sign Language;SSL;3D avatar;emotion recognition;personalized learning;machine learning;deep learning;image processing;video processing;gamification;human-computer interaction;reinforcement learning;gestures;inclusivity;education","Visualization;Solid modeling;Three-dimensional displays;Gesture recognition;Reinforcement learning;Assistive technologies;Grammar","","","","11","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Optimizing Gas Fees for Cost-Effective E-voting Smart Contracts on the Ethereum Blockchain","B. D. Perera; N. S. W. Arachchige; M. K. N. T.; M. P. S. Randunu; L. Rupasinghe; C. Liyanapathirana","Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","7","11","E-voting utilizing blockchain technology is an emerging solution that has the potential to transform the electoral process due to its features like anonymity, privacy protection, and non-repudiation. Integrating voting applications into smart contracts on the blockchain introduces a computational expense known as gas. This research paper focuses on presenting methodologies to reduce gas fees associated with contract deployment and execution. The experimentation is conducted using Ethereum blockchain and Solidity smart contract, with Remix IDE serving as the testing environment. Our proposed solution includes a simplified voting contract facilitating candidate registration, vote storage, and preventing multiple votes from the same user. The findings demonstrate an overall reduction of 19.18% in deployment costs and 0.95% for single vote execution costs notably, as the number of transactions increases. the overall impact of these optimizations is anticipated to produce a much greater reduction in gas fees for single transactions. These results offer insights into optimizing gas fees in e-voting applications, enhancing the viability and efficiency of blockchain-driven voting systems.","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417420","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417420","(e-Voting) electronic voting;(BTC) Blockchain Technology;Smart contract;Gas cost;(D-App) Decentralized Application;Ethereum Blockchain","Privacy;Costs;Scalability;Smart contracts;Transforms;Blockchains;Security;Electronic voting;Optimization;Testing","","","","18","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Study of Factors Influencing on Mental Health and Their Relationships, of IT Sector Employees in Colombo District, Sri Lanka","S. P. L. Dias; S. Lokuliyana","Department of Physical Sciences and Technology, Faculty of Applied Sciences, University of Sabaragamuwa, Belihuloya, Sri Lanka; Department of Computer Systems and Engineering, Faculty of Graduate Studies and Research, Sri Lanka Institute Information Technology, Malabe, Sri Lanka",2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","12","16","This study focused on the mental health of IT sector employees in Colombo, using quantitative research methods and data from 300 participants (162 males and 138 females) using the DASS 21 questionnaire and self-administered surveys through convenience sampling. Correlation analysis, chi-square tests, and regression analysis were utilized to examine the data. It found significant correlations between mental health outcomes (stress, anxiety, and depression) and factors like work-life balance, workload, working conditions, and physical fitness. Work-life balance, working environment, and workload were identified as the most significant predictors of mental health outcomes. Physical fitness was associated with stress, depression, and anxiety but had a limited overall impact on mental health. Differences in depression, stress, and anxiety levels were observed based on marital status, age group, work experience, salary, and gender. These findings emphasize the importance of addressing work-life balance and working conditions to enhance the mental health of IT sector employees in Colombo. They provide valuable insights for organizations and policymakers to develop strategies and interventions that promote employee well-being and productivity, underscoring the need to prioritize mental health and create a supportive work environment.","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417185","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417185","Anxiety;Depression;Physical Fitness;Mental Health;Stress;Workload","Employee welfare;Correlation;Anxiety disorders;Mental health;Depression;Health and safety;Remuneration","","","","8","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Machine Learning Based Web Application Plugin for Threat Detection and IP Analysis","K. D. I. G. Katulanda; H. A. I. S. Henaka Arachchi; R. D. Edippuliarachchi; W. A. N. P. Jayawardena; L. Rupasinghe; C. Liyanapathirana","Department of Information Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Information Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Information Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Information Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Information Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Information Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","17","22","Web-based apps are becoming increasingly popular as the internet grows. Since attackers have focused more on web-based attacks, the security of these apps has become a key problem. Thus, this research study presents a machine learning-based online application plugin to identify and mitigate the most prevalent web vulnerabilities. The plugin detects Proxy IP/VPN, XSS, SQLi, HTTPS malware, and Prototype Pollution assaults. The research develops a complete solution using machine learning and non-machine learning methods. Web traffic data is used to train machine learning models and rule-based algorithms for non-machine learning detection.","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417658","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417658","web-traffic analysis;threat detection;machine learning;HTTP","Pollution;Machine learning algorithms;Prototypes;Machine learning;Threat assessment;Malware;Security","","","","20","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Dr. Fish: A Deep Learning-Based Mobile Application for Ornamental Fish Industry in Sri Lanka","Z. A.M.; N. G.Y.M.; S. A.K.S.; R. E.G.S.R.; K. S.; J. T.","Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","23","28","The ornamental fish industry in Sri Lanka plays a vital role in the country's economy, providing substantial foreign exchange earnings and supporting livelihoods, particularly in rural areas. However, the industry faces challenges related to technology adoption, infrastructure, and access to finance. To address these issues, we present “Dr. Fish,” a mobile application that integrates machine learning, deep learning algorithms, artificial intelligence, image processing, and software programming to provide a holistic solution. The methods employed to develop the application included convolutional neural networks (CNN), and recurrent neural networks (RNN). The backend of the application was developed using Python, while the app was built using Flutter. Firebase was used as the database. Dr. Fish offers fish category prediction, fish disease identification, fish type recommendations, and price predictions, benefiting both ornamental fish owners and potential entrepreneurs. Our evaluation demonstrates high accuracy in fish category prediction, disease identification, and recommendation. The application has the potential to revolutionize the industry by enhancing decision-making and user engagement. Dr. Fish represents a step toward promoting the adoption of digital technologies in the ornamental fish industry and related sectors in Sri Lanka.","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417368","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417368","artificial intelligence;convolutional neural networks (CNN);image processing;machine learning;mobile applications;ornamental fish industry;recurrent neural networks (RNN)","Industries;Recurrent neural networks;Software algorithms;Fish;Mobile applications;Convolutional neural networks;Diseases","","","","20","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
